Anas discors
Anas eatoni
Anas erythrorhyncha
Anas falcata
Anas flavirostris
Anas formosa
Anas fulvigula
Anas georgica
Anas gibberifrons
Anas gracilis
Anas hottentota
Anas laysanensis
Anas luzonica
Anas melleri
Anas nesiotis
Anas penelope
Anas platalea
Anas platyrhynchos
Anas poecilorhyncha
Anas puna
Anas querquedula
Anas rhynchotis
Anas rubripes
Anas sibilatrix
Anas smithii
Anas sparsa
Anas strepera
Anas superciliosa
Anas undulata
Anas versicolor
Anas wyvilliana
Anser albifrons
Anser anser
Anser brachyrhynchus
Anser cygnoides
Anser erythropus
Anser fabalis
Anser indicus
Aythya affinis
Aythya americana
Aythya australis
Aythya baeri
Aythya collaris
Aythya ferina
Aythya fuligula
Aythya innotata
Aythya marila
Aythya novaeseelandiae
Aythya nyroca
Aythya valisineria
Biziura lobata
Branta bernicla
Branta canadensis
Branta hutchinsii
Branta leucopsis
Branta ruficollis
Branta sandvicensis
Bucephala albeola
Bucephala clangula
Bucephala islandica
Cairina moschata
Cairina scutulata
Callonetta leucophrys
Cereopsis novaehollandiae
Chen caerulescens
Chen canagica
Chen rossii
Chenonetta jubata
Chloephaga hybrida
Chloephaga melanoptera
Chloephaga picta
Chloephaga poliocephala
Chloephaga rubidiceps
Clangula hyemalis
Coscoroba coscoroba
Cyanochen cyanoptera
Cygnus atratus
Cygnus buccinator
Cygnus columbianus
Cygnus cygnus
Cygnus melancoryphus
Cygnus olor
Dendrocygna arborea
Dendrocygna arcuata
Dendrocygna autumnalis
Dendrocygna bicolor
Dendrocygna eytoni
Dendrocygna guttata
Dendrocygna javanica
Dendrocygna viduata
Heteronetta atricapilla
Histrionicus histrionicus
Hymenolaimus malacorhynchos
Lophodytes cucullatus
Lophonetta specularioides
Malacorhynchus membranaceus
Marmaronetta angustirostris
Melanitta fusca
Melanitta nigra
Melanitta perspicillata
Merganetta armata
Mergellus albellus
Mergus merganser
Mergus octosetaceus
Mergus serrator
Mergus squamatus
Neochen jubata
Netta erythrophthalma
Netta peposaca
Netta rufina
Nettapus auritus
Nettapus coromandelianus
Nettapus pulchellus
Nomonyx dominicus
Oxyura australis
Oxyura jamaicensis
Oxyura leucocephala
Oxyura maccoa
Oxyura vittata
Plectropterus gambensis
Polysticta stelleri
Pteronetta hartlaubii
Salvadorina waigiuensis
Sarkidiornis melanotos
Somateria fischeri
Somateria mollissima
Somateria spectabilis
Speculanas specularis
Stictonetta naevosa
Tachyeres brachypterus
Tachyeres leucocephalus
Tachyeres patachonicus
Tachyeres pteneres
Tadorna cana
Tadorna ferruginea
Tadorna radjah
Tadorna tadorna
Tadorna tadornoides
Tadorna variegata
Thalassornis leuconotus
Anhima cornuta
Chauna chavaria
Chauna torquata
Anseranas semipalmata
Aegotheles albertisi
Aegotheles archboldi
Aegotheles bennettii
Aegotheles crinifrons
Aegotheles cristatus
Aegotheles insignis
Aegotheles savesi
Aegotheles tatei
Aegotheles wallacii
Aeronautes andecolus
Aeronautes montivagus
